rank,feature,mean_abs_shap,interpretation
1,log_price_per_unit,1.23371,"Unit price is the strongest proxy for embedded carbon intensity; expensive medicines (biologics, oncology agents, specialty injectables) require complex manufacturing with greater scope 3 emissions per unit dispensed."
2,form_iv_injection,0.34721,"Intravenous products carry elevated carbon relative to price, driven by sterile manufacturing requirements, cold-chain distribution, and packaging intensity (glass vials, infusion bags, overwraps)."
3,bnf_chapter_num,0.25785,"Therapeutic chapter captures systematic carbon variation across treatment areas independent of price and dosage form; specialist chapters (oncology, immunology) skew higher than general-medicine chapters."
4,form_tablet_capsule,0.18236,"Solid oral dose forms are associated with lower carbon intensity: simpler manufacturing, ambient-temperature storage, and lower packaging weight per unit make them the lowest-footprint primary dosage-form category."
5,form_topical,0.0896,"Topical creams, ointments, and gels have moderate-to-low carbon intensity; most are ambient-stored with straightforward manufacturing, though sterile topicals (eye drops, wound irrigation) raise the within-group floor."
6,is_biologic,0.08815,"Biological medicines require complex fermentation or cell-culture manufacturing, cold-chain logistics, and specialised packaging, contributing above-average scope 3 intensity beyond what unit price alone captures."
7,form_oral_liquid,0.05513,"Oral liquids have higher carbon than solid oral forms due to heavier packaging per dose and, for immunosuppressants and antiretrovirals in this category, cold-chain distribution requirements."
8,is_cold_chain,0.02465,"Cold-chain requirement directly indicates refrigerated storage and temperature-controlled distribution, adding refrigeration energy and specialised logistics carbon beyond ambient-storage products."
9,form_unclassified,0.02236,Products where dosage form could not be determined from VMP name; heterogeneous carbon intensity. The SHAP magnitude reflects that these products differ systematically from the modal reference category.
10,form_other,0.01519,"Heterogeneous category covering transdermal patches, pessaries, and non-IV injectable routes; carbon intensity varies widely within this group, contributing moderate and diffuse SHAP signal."
11,form_device_or_nutrition,0.00815,"Medical devices and enteral nutrition products are characterised by device manufacturing and food-grade processing carbon, distinct from pharmaceutical synthesis pathways; typically lower pharmaceutical-carbon burden per item."
12,form_dpi_inhaler,0.0049,"Dry powder inhalers use no high-GWP propellant; their carbon footprint is primarily device plastic and blister packaging, substantially lower than HFC pMDI equivalents dispensing the same active molecule."
13,form_other_inhaler,0.00356,"Non-HFC, non-DPI inhalers (nebuliser solutions, soft-mist inhalers) lack high-GWP propellant but retain device and packaging overhead not captured by the dedicated HFC or DPI flags."
14,is_inhaler_hfc,0.00336,"HFC-propellant pressurised metered-dose inhalers have global warming potentials of 1,300-3,500x CO2; this flag captures a strong, physically grounded signal about propellant emissions that price alone cannot represent."
15,supplier_crp_matched,0.00043,Flag indicating the VMP was matched to a Fresenius Kabi or B. Braun CRP (IV parenteral nutrition lines); captures a small cluster of proprietary branded products with identifiable supplier manufacturing profiles.
